id,symbol,timestamp,open,high,low,close,volume,source,created_at
2870,GBP/USD,2025-07-09 05:00:00,1.35966,1.35977,1.3586,1.35886,0,twelvedata,2025-08-26 16:43:42
2871,GBP/USD,2025-07-09 06:00:00,1.35897,1.35964,1.35884,1.35927,0,twelvedata,2025-08-26 16:43:42
2872,GBP/USD,2025-07-09 07:00:00,1.35894,1.35936,1.35755,1.35879,0,twelvedata,2025-08-26 16:43:42
2873,GBP/USD,2025-07-09 08:00:00,1.35905,1.35953,1.35905,1.35949,0,twelvedata,2025-08-26 16:43:42
2874,GBP/USD,2025-07-09 09:00:00,1.3594,1.35942,1.35847,1.35851,0,twelvedata,2025-08-26 16:43:42
2875,GBP/USD,2025-07-09 10:00:00,1.35857,1.35871,1.35762,1.35871,0,twelvedata,2025-08-26 16:43:42
2876,GBP/USD,2025-07-09 11:00:00,1.35868,1.35894,1.35779,1.35875,0,twelvedata,2025-08-26 16:43:42
2877,GBP/USD,2025-07-09 12:00:00,1.35858,1.35932,1.35661,1.35746,0,twelvedata,2025-08-26 16:43:42
2878,GBP/USD,2025-07-09 13:00:00,1.35742,1.35742,1.35658,1.35702,0,twelvedata,2025-08-26 16:43:42
2879,GBP/USD,2025-07-09 14:00:00,1.35693,1.35862,1.35682,1.35862,0,twelvedata,2025-08-26 16:43:42
2880,GBP/USD,2025-07-09 15:00:00,1.35862,1.35958,1.35847,1.35879,0,twelvedata,2025-08-26 16:43:42
2881,GBP/USD,2025-07-09 16:00:00,1.35873,1.36066,1.35822,1.36038,0,twelvedata,2025-08-26 16:43:42
2882,GBP/USD,2025-07-09 17:00:00,1.3604,1.36045,1.35801,1.35868,0,twelvedata,2025-08-26 16:43:42
2883,GBP/USD,2025-07-09 18:00:00,1.35862,1.36053,1.3584,1.36003,0,twelvedata,2025-08-26 16:43:42
2884,GBP/USD,2025-07-09 19:00:00,1.36023,1.36067,1.35934,1.35964,0,twelvedata,2025-08-26 16:43:42
2885,GBP/USD,2025-07-09 20:00:00,1.35975,1.36041,1.35834,1.35851,0,twelvedata,2025-08-26 16:43:42
2886,GBP/USD,2025-07-09 21:00:00,1.35836,1.35882,1.35761,1.35768,0,twelvedata,2025-08-26 16:43:42
2887,GBP/USD,2025-07-09 22:00:00,1.35799,1.36121,1.35779,1.3609,0,twelvedata,2025-08-26 16:43:42
2888,GBP/USD,2025-07-09 23:00:00,1.36086,1.36182,1.35858,1.3586,0,twelvedata,2025-08-26 16:43:42
2889,GBP/USD,2025-07-10 00:00:00,1.35873,1.36151,1.35833,1.35894,0,twelvedata,2025-08-26 16:43:42
2890,GBP/USD,2025-07-10 01:00:00,1.35895,1.35943,1.35822,1.35847,0,twelvedata,2025-08-26 16:43:42
2891,GBP/USD,2025-07-10 02:00:00,1.35838,1.35875,1.35801,1.3584,0,twelvedata,2025-08-26 16:43:42
2892,GBP/USD,2025-07-10 03:00:00,1.35842,1.35916,1.35814,1.35888,0,twelvedata,2025-08-26 16:43:42
2893,GBP/USD,2025-07-10 04:00:00,1.35894,1.35975,1.35864,1.35888,0,twelvedata,2025-08-26 16:43:42
2894,GBP/USD,2025-07-10 05:00:00,1.35888,1.36016,1.35881,1.35945,0,twelvedata,2025-08-26 16:43:42
2895,GBP/USD,2025-07-10 06:00:00,1.35953,1.35955,1.35847,1.3586,0,twelvedata,2025-08-26 16:43:42
2896,GBP/USD,2025-07-10 07:00:00,1.35842,1.35919,1.35842,1.35895,0,twelvedata,2025-08-26 16:43:42
2897,GBP/USD,2025-07-10 08:00:00,1.35888,1.35925,1.35888,1.35906,0,twelvedata,2025-08-26 16:43:42
2898,GBP/USD,2025-07-10 09:00:00,1.35906,1.35993,1.35886,1.35993,0,twelvedata,2025-08-26 16:43:42
2899,GBP/USD,2025-07-10 10:00:00,1.35977,1.36136,1.35977,1.3611,0,twelvedata,2025-08-26 16:43:42
2900,GBP/USD,2025-07-10 11:00:00,1.36088,1.36117,1.36038,1.36073,0,twelvedata,2025-08-26 16:43:42
2901,GBP/USD,2025-07-10 12:00:00,1.36088,1.36123,1.3606,1.3608,0,twelvedata,2025-08-26 16:43:42
2902,GBP/USD,2025-07-10 13:00:00,1.36077,1.36091,1.36049,1.36051,0,twelvedata,2025-08-26 16:43:42
2903,GBP/USD,2025-07-10 14:00:00,1.36038,1.3606,1.36008,1.36056,0,twelvedata,2025-08-26 16:43:42
2904,GBP/USD,2025-07-10 15:00:00,1.36056,1.36106,1.36047,1.36095,0,twelvedata,2025-08-26 16:43:42
2905,GBP/USD,2025-07-10 16:00:00,1.36103,1.36173,1.36073,1.36119,0,twelvedata,2025-08-26 16:43:42
2906,GBP/USD,2025-07-10 17:00:00,1.36119,1.36195,1.36032,1.36097,0,twelvedata,2025-08-26 16:43:42
2907,GBP/USD,2025-07-10 18:00:00,1.36143,1.36158,1.36054,1.36069,0,twelvedata,2025-08-26 16:43:42
2908,GBP/USD,2025-07-10 19:00:00,1.36071,1.36164,1.36064,1.3609,0,twelvedata,2025-08-26 16:43:42
2909,GBP/USD,2025-07-10 20:00:00,1.36088,1.36116,1.3599,1.36006,0,twelvedata,2025-08-26 16:43:42
2910,GBP/USD,2025-07-10 21:00:00,1.35995,1.35999,1.35735,1.35785,0,twelvedata,2025-08-26 16:43:42
2911,GBP/USD,2025-07-10 22:00:00,1.35807,1.35853,1.35579,1.3561,0,twelvedata,2025-08-26 16:43:42
2912,GBP/USD,2025-07-10 23:00:00,1.3561,1.35702,1.35461,1.35525,0,twelvedata,2025-08-26 16:43:42
